b,g,r
126.6419906616211,145.98907470703125,195.8863525390625
127.0343246459961,146.1859893798828,196.2856903076172
126.93424987792969,146.121337890625,196.18411254882812
126.6567153930664,146.02813720703125,195.9347381591797
126.93107604980469,146.16091918945312,196.22442626953125
126.90013885498047,146.13555908203125,196.2102508544922
126.60681915283203,146.05775451660156,195.9835662841797
126.97994995117188,146.22845458984375,196.32066345214844
126.92129516601562,146.2256317138672,196.33145141601562
126.60261535644531,146.0360870361328,195.9757537841797
126.81489562988281,146.09698486328125,196.1338653564453
126.65081024169922,146.07522583007812,196.0081787109375
126.52774047851562,145.9945831298828,195.88168334960938
126.76563262939453,146.09823608398438,196.02455139160156
126.77472686767578,146.1683349609375,196.07025146484375
126.60586547851562,146.05508422851562,195.91525268554688
126.85933685302734,146.10934448242188,196.11891174316406
126.82098388671875,146.01455688476562,196.02789306640625
126.6141128540039,146.13140869140625,195.9022979736328
126.93389892578125,146.21841430664062,196.1178741455078
126.75466918945312,146.1469268798828,196.0274658203125
126.64252471923828,146.14979553222656,195.9085235595703
126.8351821899414,146.2352294921875,196.07855224609375
126.64071655273438,146.0627899169922,195.90182495117188
126.63998413085938,146.12644958496094,195.89093017578125
126.73631286621094,146.10302734375,195.9529571533203
126.39862060546875,145.9060821533203,195.62001037597656
126.67250061035156,145.94752502441406,195.86383056640625
126.66765594482422,145.973876953125,195.86700439453125
126.49083709716797,145.92140197753906,195.7055206298828
126.47874450683594,145.93917846679688,195.73013305664062
126.60057067871094,145.97898864746094,195.78797912597656
126.68072509765625,145.85304260253906,195.7121124267578
126.91468811035156,145.9905242919922,195.95028686523438
126.99555969238281,145.98416137695312,195.9486083984375
126.59394073486328,145.85484313964844,195.69590759277344
126.80518341064453,145.9262237548828,195.838623046875
126.79537963867188,145.89857482910156,195.8409881591797
126.49665069580078,145.7784423828125,195.61973571777344
126.78125762939453,145.89678955078125,195.88584899902344
126.79206848144531,145.92404174804688,195.91383361816406
126.53340911865234,145.84080505371094,195.7333221435547
126.81000518798828,145.88198852539062,195.9171142578125
126.78960418701172,145.8707275390625,195.88754272460938
126.55978393554688,145.72125244140625,195.6722412109375
126.93498992919922,145.89024353027344,196.00364685058594
126.94341278076172,145.9783477783203,196.04283142089844
126.74217224121094,145.95079040527344,195.9184112548828
127.02034759521484,146.11187744140625,196.17808532714844
126.95698547363281,146.0671844482422,196.14541625976562
126.74237823486328,145.8894805908203,195.92947387695312
127.06346893310547,146.16934204101562,196.21859741210938
126.92281341552734,146.1127166748047,196.1291961669922
126.81429290771484,145.94422912597656,196.0120849609375
127.13079071044922,146.099609375,196.26942443847656
127.12161254882812,146.1289825439453,196.25582885742188
126.85055541992188,146.062255859375,196.02674865722656
127.1868667602539,146.180419921875,196.28826904296875
127.06900024414062,146.15809631347656,196.24945068359375
126.84978485107422,146.166015625,196.04649353027344
127.04419708251953,146.14840698242188,196.15658569335938
127.15641784667969,146.24305725097656,196.30157470703125
126.69949340820312,146.0190887451172,195.89964294433594
127.1390380859375,146.2340087890625,196.2675323486328
127.11123657226562,146.20494079589844,196.2350311279297
126.8813247680664,146.10684204101562,195.99606323242188
126.87332916259766,146.13487243652344,196.09799194335938
127.04691314697266,146.11688232421875,196.1485595703125
126.8995132446289,145.9612274169922,196.02635192871094
127.0499496459961,146.12188720703125,196.16787719726562
126.94158935546875,146.0703582763672,196.11520385742188
126.74393463134766,145.8769073486328,195.9639129638672
126.91426849365234,146.03062438964844,196.10060119628906
127.0116958618164,146.10140991210938,196.20787048339844
126.80776977539062,145.98414611816406,196.0479736328125
127.15010070800781,146.1600799560547,196.33619689941406
126.92552185058594,145.99575805664062,196.1537322998047
126.88037109375,145.90892028808594,196.09983825683594
127.15045166015625,146.07769775390625,196.34027099609375
127.01982879638672,145.9490966796875,196.25575256347656
126.75210571289062,145.90713500976562,196.0476837158203
127.04146575927734,146.01258850097656,196.37777709960938
126.94209289550781,145.9544219970703,196.22531127929688
126.75785064697266,145.81886291503906,196.03529357910156
126.71051025390625,145.82907104492188,195.97421264648438
126.62947082519531,145.74765014648438,195.94900512695312
126.89030456542969,145.8921356201172,196.21255493164062
126.78550720214844,145.81265258789062,196.07977294921875
126.49696350097656,145.691650390625,195.8487091064453
126.66380310058594,145.81727600097656,196.01812744140625
126.5671157836914,145.7930450439453,195.96429443359375
126.8011474609375,145.7561492919922,196.06732177734375
127.06340789794922,145.9058837890625,196.32562255859375
127.02029418945312,145.89932250976562,196.30775451660156
126.51714324951172,145.72677612304688,195.94577026367188
126.79827880859375,145.86817932128906,196.16090393066406
126.79721069335938,145.8754119873047,196.1444091796875
126.5481948852539,145.79718017578125,195.9769287109375
126.86249542236328,145.94215393066406,196.25244140625
126.8392333984375,145.9457550048828,196.26136779785156
126.4921646118164,145.8416290283203,195.97743225097656
126.81009674072266,145.98289489746094,196.22169494628906
126.5894546508789,145.85272216796875,196.00242614746094
126.37516784667969,145.83493041992188,195.84742736816406
126.62618255615234,145.94705200195312,196.05699157714844
126.77519989013672,146.0836639404297,196.2074737548828
126.41108703613281,145.95849609375,195.87750244140625
126.74453735351562,145.97129821777344,196.1316375732422
126.76072692871094,145.94264221191406,196.137451171875
126.54964447021484,145.877197265625,195.96734619140625
126.8441390991211,146.03260803222656,196.20562744140625
126.74288940429688,145.919677734375,196.1202392578125
126.57748413085938,145.70372009277344,195.9441680908203
126.76152801513672,145.9290313720703,196.1407928466797
126.70616912841797,145.9021453857422,196.06781005859375
126.51245880126953,145.6309356689453,195.90264892578125
126.93083953857422,145.8882293701172,196.2586212158203
126.73518371582031,145.7283477783203,196.08294677734375
126.42709350585938,145.69900512695312,195.82176208496094
126.79826354980469,145.85366821289062,196.13076782226562
126.66761016845703,145.77288818359375,196.00257873535156
126.45365905761719,145.6825408935547,195.8070526123047
126.60194396972656,145.7282257080078,195.94007873535156
126.56756591796875,145.71583557128906,195.9021759033203
126.36187744140625,145.6892547607422,195.7676544189453
126.60540008544922,145.7244415283203,195.9630889892578
126.49329376220703,145.5681915283203,195.81991577148438
126.19384002685547,145.3338165283203,195.5397186279297
126.40132141113281,145.45074462890625,195.7515869140625
